"Designator","Comment","Layer","Footprint","Footprint Description","Center-X(mm)","Center-Y(mm)","Rotation","Description","ComponentKind","Height(mm)","Ref-X(mm)","Ref-Y(mm)","Pad-X(mm)","Pad-Y(mm)","Variation"
"C14","100uF","TopLayer","1206-CAP","","-8.6360","-14.3510","90","Capacitor","Standard","1.2000","-8.6360","-14.3510","-8.6360","-15.6210","Fitted"
"C13","100uF","TopLayer","1206-CAP","","-6.9850","-14.3510","90","Capacitor","Standard","1.2000","-6.9850","-14.3510","-6.9850","-15.6210","Fitted"
"C12","100uF","TopLayer","1206-CAP","","-8.6360","-10.6680","270","Capacitor","Standard","1.2000","-8.6360","-10.6680","-8.6360","-9.3980","Fitted"
"C11","100uF","TopLayer","1206-CAP","","-6.9850","-10.6680","270","Capacitor","Standard","1.2000","-6.9850","-10.6680","-6.9850","-9.3980","Fitted"
"C10","10uF","BottomLayer","CAP_0402","","5.5880","-9.6520","0","Capacitor","Standard","0.5500","5.5880","-9.6520","5.0800","-9.6520","Fitted"
"C8","0.1uF","BottomLayer","CAP_0402","","-6.4770","-9.2710","90","Capacitor","Standard","0.5500","-6.4770","-9.2710","-6.4770","-9.7790","Fitted"
"C7","0.1uF","BottomLayer","CAP_0402","","-17.1450","-3.3020","0","Capacitor","Standard","0.5500","-17.1450","-3.3020","-17.6530","-3.3020","Fitted"
"C6","0.1uF","BottomLayer","CAP_0402","","-15.7480","-9.2710","90","Capacitor","Standard","0.5500","-15.7480","-9.2710","-15.7480","-9.7790","Fitted"
"C9","0.1uF","BottomLayer","CAP_0402","","-17.1450","-8.8900","0","Capacitor","Standard","0.5500","-17.1450","-8.8900","-17.6530","-8.8900","Fitted"
"C5","0.1uF","BottomLayer","CAP_0402","","-1.0160","6.8580","180","Capacitor","Standard","0.5500","-1.0160","6.8580","-0.5080","6.8580","Fitted"
"C4","0.1uF","BottomLayer","CAP_0402","","-4.5720","6.8580","180","Capacitor","Standard","0.5500","-4.5720","6.8580","-4.0640","6.8580","Fitted"
"C2","0.1uF","BottomLayer","CAP_0402","","6.3500","6.8580","180","Capacitor","Standard","0.5500","6.3500","6.8580","6.8580","6.8580","Fitted"
"C1","0.1uF","BottomLayer","CAP_0402","","2.7940","6.8580","0","Capacitor","Standard","0.5500","2.7940","6.8580","2.2860","6.8580","Fitted"
